scenario,study_id,method_id,family,role,source_type,platform_recomputed,source_file,source_label,source_line,source_page,drr_star,raw_image_replay,data_access,source_sha256,metric,mean,sd,status,missing_reason,unit,direction,uncertainty_kind,uncertainty_scope,n_repeats,source_raw,source_precision
Domain-CL,ch03-main-domain,Repl-FDR,replay,continual_method,thesis_reference,False,chapters/ch03_medcl_benchmark.tex,tab:benchmark-domain-results,681,,True,True,raw_image_replay,670c93a39c643f0fa0f3a63f755eea853db7e5775c55745387b748fe5772406f,A-Dice,0.728,0.015,reported,,Dice,maximize,reported_sd,not_specified_in_main_table,,$.728\pm.015$,"{""mean"": 3, ""sd"": 3}"
Domain-CL,ch03-main-domain,Repl-FDR,replay,continual_method,thesis_reference,False,chapters/ch03_medcl_benchmark.tex,tab:benchmark-domain-results,681,,True,True,raw_image_replay,670c93a39c643f0fa0f3a63f755eea853db7e5775c55745387b748fe5772406f,BWTR,-0.111,0.028,reported,,ratio,maximize,reported_sd,not_specified_in_main_table,,$-.111\pm.028$,"{""mean"": 3, ""sd"": 3}"
Domain-CL,ch03-main-domain,Repl-FDR,replay,continual_method,thesis_reference,False,chapters/ch03_medcl_benchmark.tex,tab:benchmark-domain-results,681,,True,True,raw_image_replay,670c93a39c643f0fa0f3a63f755eea853db7e5775c55745387b748fe5772406f,RMA,1.025,0.033,reported,,ratio,maximize,reported_sd,not_specified_in_main_table,,$1.025\pm.033$,"{""mean"": 3, ""sd"": 3}"
Domain-CL,ch03-main-domain,Repl-FDR,replay,continual_method,thesis_reference,False,chapters/ch03_medcl_benchmark.tex,tab:benchmark-domain-results,681,,True,True,raw_image_replay,670c93a39c643f0fa0f3a63f755eea853db7e5775c55745387b748fe5772406f,E-FWT,0.252,0.136,reported,,Dice,maximize,reported_sd,not_specified_in_main_table,,$.252\pm.136$,"{""mean"": 3, ""sd"": 3}"
Domain-CL,ch03-main-domain,Repl-FDR,replay,continual_method,thesis_reference,False,chapters/ch03_medcl_benchmark.tex,tab:benchmark-domain-results,681,,True,True,raw_image_replay,670c93a39c643f0fa0f3a63f755eea853db7e5775c55745387b748fe5772406f,WCD,,,not_applicable,WCD 不适用于 Domain-CL，不属于原表列。,Dice,maximize,,,,,"{""mean"": null, ""sd"": null}"
Domain-CL,ch03-main-domain,Repl-FDR,replay,continual_method,thesis_reference,False,chapters/ch03_medcl_benchmark.tex,tab:benchmark-domain-results,681,,True,True,raw_image_replay,670c93a39c643f0fa0f3a63f755eea853db7e5775c55745387b748fe5772406f,MPE,0.0,,reported,,ratio,minimize,,,,$0$,"{""mean"": 0, ""sd"": null}"
Domain-CL,ch03-main-domain,Repl-FDR,replay,continual_method,thesis_reference,False,chapters/ch03_medcl_benchmark.tex,tab:benchmark-domain-results,681,,True,True,raw_image_replay,670c93a39c643f0fa0f3a63f755eea853db7e5775c55745387b748fe5772406f,DRR,0.042,,reported,,ratio,minimize,,,,$.042^{*}$,"{""mean"": 3, ""sd"": null}"
Domain-CL,ch03-main-domain,ParIso-PNN,parameter_isolation,continual_method,thesis_reference,False,chapters/ch03_medcl_benchmark.tex,tab:benchmark-domain-results,684,,False,False,no_raw_image_replay,670c93a39c643f0fa0f3a63f755eea853db7e5775c55745387b748fe5772406f,A-Dice,0.789,0.002,reported,,Dice,maximize,reported_sd,not_specified_in_main_table,,$\best{.789\pm.002}$,"{""mean"": 3, ""sd"": 3}"
Domain-CL,ch03-main-domain,ParIso-PNN,parameter_isolation,continual_method,thesis_reference,False,chapters/ch03_medcl_benchmark.tex,tab:benchmark-domain-results,684,,False,False,no_raw_image_replay,670c93a39c643f0fa0f3a63f755eea853db7e5775c55745387b748fe5772406f,BWTR,0.0,0.0,reported,,ratio,maximize,reported_sd,not_specified_in_main_table,,$\best{0\pm0}$,"{""mean"": 0, ""sd"": 0}"
Domain-CL,ch03-main-domain,ParIso-PNN,parameter_isolation,continual_method,thesis_reference,False,chapters/ch03_medcl_benchmark.tex,tab:benchmark-domain-results,684,,False,False,no_raw_image_replay,670c93a39c643f0fa0f3a63f755eea853db7e5775c55745387b748fe5772406f,RMA,1.003,0.014,reported,,ratio,maximize,reported_sd,not_specified_in_main_table,,$1.003\pm.014$,"{""mean"": 3, ""sd"": 3}"
Domain-CL,ch03-main-domain,ParIso-PNN,parameter_isolation,continual_method,thesis_reference,False,chapters/ch03_medcl_benchmark.tex,tab:benchmark-domain-results,684,,False,False,no_raw_image_replay,670c93a39c643f0fa0f3a63f755eea853db7e5775c55745387b748fe5772406f,E-FWT,0.235,0.148,reported,,Dice,maximize,reported_sd,not_specified_in_main_table,,$.235\pm.148$,"{""mean"": 3, ""sd"": 3}"
Domain-CL,ch03-main-domain,ParIso-PNN,parameter_isolation,continual_method,thesis_reference,False,chapters/ch03_medcl_benchmark.tex,tab:benchmark-domain-results,684,,False,False,no_raw_image_replay,670c93a39c643f0fa0f3a63f755eea853db7e5775c55745387b748fe5772406f,WCD,,,not_applicable,WCD 不适用于 Domain-CL，不属于原表列。,Dice,maximize,,,,,"{""mean"": null, ""sd"": null}"
Domain-CL,ch03-main-domain,ParIso-PNN,parameter_isolation,continual_method,thesis_reference,False,chapters/ch03_medcl_benchmark.tex,tab:benchmark-domain-results,684,,False,False,no_raw_image_replay,670c93a39c643f0fa0f3a63f755eea853db7e5775c55745387b748fe5772406f,MPE,1.112,,reported,,ratio,minimize,,,,$1.112$,"{""mean"": 3, ""sd"": null}"
Domain-CL,ch03-main-domain,ParIso-PNN,parameter_isolation,continual_method,thesis_reference,False,chapters/ch03_medcl_benchmark.tex,tab:benchmark-domain-results,684,,False,False,no_raw_image_replay,670c93a39c643f0fa0f3a63f755eea853db7e5775c55745387b748fe5772406f,DRR,0.0,,reported,,ratio,minimize,,,,$0$,"{""mean"": 0, ""sd"": null}"
Domain-CL,ch03-main-domain,ParIso-DAN,parameter_isolation,continual_method,thesis_reference,False,chapters/ch03_medcl_benchmark.tex,tab:benchmark-domain-results,685,,False,False,no_raw_image_replay,670c93a39c643f0fa0f3a63f755eea853db7e5775c55745387b748fe5772406f,A-Dice,0.786,0.008,reported,,Dice,maximize,reported_sd,not_specified_in_main_table,,$.786\pm.008$,"{""mean"": 3, ""sd"": 3}"
Domain-CL,ch03-main-domain,ParIso-DAN,parameter_isolation,continual_method,thesis_reference,False,chapters/ch03_medcl_benchmark.tex,tab:benchmark-domain-results,685,,False,False,no_raw_image_replay,670c93a39c643f0fa0f3a63f755eea853db7e5775c55745387b748fe5772406f,BWTR,0.0,0.0,reported,,ratio,maximize,reported_sd,not_specified_in_main_table,,$\best{0\pm0}$,"{""mean"": 0, ""sd"": 0}"
Domain-CL,ch03-main-domain,ParIso-DAN,parameter_isolation,continual_method,thesis_reference,False,chapters/ch03_medcl_benchmark.tex,tab:benchmark-domain-results,685,,False,False,no_raw_image_replay,670c93a39c643f0fa0f3a63f755eea853db7e5775c55745387b748fe5772406f,RMA,1.016,0.021,reported,,ratio,maximize,reported_sd,not_specified_in_main_table,,$1.016\pm.021$,"{""mean"": 3, ""sd"": 3}"
Domain-CL,ch03-main-domain,ParIso-DAN,parameter_isolation,continual_method,thesis_reference,False,chapters/ch03_medcl_benchmark.tex,tab:benchmark-domain-results,685,,False,False,no_raw_image_replay,670c93a39c643f0fa0f3a63f755eea853db7e5775c55745387b748fe5772406f,E-FWT,0.312,0.21,reported,,Dice,maximize,reported_sd,not_specified_in_main_table,,$\best{.312\pm.210}$,"{""mean"": 3, ""sd"": 3}"
Domain-CL,ch03-main-domain,ParIso-DAN,parameter_isolation,continual_method,thesis_reference,False,chapters/ch03_medcl_benchmark.tex,tab:benchmark-domain-results,685,,False,False,no_raw_image_replay,670c93a39c643f0fa0f3a63f755eea853db7e5775c55745387b748fe5772406f,WCD,,,not_applicable,WCD 不适用于 Domain-CL，不属于原表列。,Dice,maximize,,,,,"{""mean"": null, ""sd"": null}"
Domain-CL,ch03-main-domain,ParIso-DAN,parameter_isolation,continual_method,thesis_reference,False,chapters/ch03_medcl_benchmark.tex,tab:benchmark-domain-results,685,,False,False,no_raw_image_replay,670c93a39c643f0fa0f3a63f755eea853db7e5775c55745387b748fe5772406f,MPE,0.111,,reported,,ratio,minimize,,,,$.111$,"{""mean"": 3, ""sd"": null}"
Domain-CL,ch03-main-domain,ParIso-DAN,parameter_isolation,continual_method,thesis_reference,False,chapters/ch03_medcl_benchmark.tex,tab:benchmark-domain-results,685,,False,False,no_raw_image_replay,670c93a39c643f0fa0f3a63f755eea853db7e5775c55745387b748fe5772406f,DRR,0.0,,reported,,ratio,minimize,,,,$0$,"{""mean"": 0, ""sd"": null}"
